Building DAG of jobs...
output_file	date	rule	log-file(s)	status	plan
data/input/H5N1_context.fasta	-	build_h5n1_final_fasta	-	missing	update pending
data/input/H5N1_context_summary.csv	-	build_h5n1_final_fasta	-	missing	update pending
data/final/H5N1_final.fasta	Fri Apr  3 13:37:31 2026	build_h5n1_final_fasta		rule implementation changed	update pending
data/input/H5N1_EC.fasta	-	build_h5n1_ec_fasta	-	missing	update pending
data/input/H5N1_EC_summary.csv	-	build_h5n1_ec_fasta	-	missing	update pending
data/all_amended_fasta	Fri Apr  3 13:37:13 2026	build_ecuador_intermediate_input		updated input files	update pending
data/assembled/ecuador_intermediate_raw_segments.csv	Fri Apr  3 13:37:13 2026	build_ecuador_intermediate_input		updated input files	update pending
data/assembled/ecuador_intermediate_expected_lengths.csv	Fri Apr  3 13:37:13 2026	build_ecuador_intermediate_input		updated input files	update pending
data/assembled/ecuador_intermediate_summary.csv	Fri Apr  3 13:37:13 2026	build_ecuador_intermediate_input		updated input files	update pending
data/assembled/ecuador_intermediate_audit.csv	Fri Apr  3 13:37:13 2026	build_ecuador_intermediate_input		updated input files	update pending
data/assembled/ecuador_intermediate_issues.csv	Fri Apr  3 13:37:13 2026	build_ecuador_intermediate_input		updated input files	update pending
data/assembled/ecuador_intermediate_sequences.fasta	Fri Apr  3 13:37:13 2026	build_ecuador_intermediate_input		updated input files	update pending
data/assembled/ecuador_intermediate_per_sample	Fri Apr  3 13:37:13 2026	build_ecuador_intermediate_input		updated input files	update pending
data/final/H5N1_final_beast.fasta	Fri Apr  3 04:23:19 2026	build_h5n1_final_beast_fasta		rule implementation changed	update pending
data/final/H5N1_final_beast_summary.csv	Fri Apr  3 04:23:19 2026	build_h5n1_final_beast_fasta		rule implementation changed	update pending
data/phylogeny/aligned/H5N1_full_concat_beast.mafft	Fri Apr  3 07:09:54 2026	concat_aligned_segments_with_partitions		rule implementation changed	update pending
data/phylogeny/H5N1_full_concat_beast.partitions	Fri Apr  3 07:09:54 2026	concat_aligned_segments_with_partitions		rule implementation changed	update pending
data/phylogeny/aligned/H5N1_PB2.mafft	Fri Apr  3 04:48:37 2026	mafft_align_per_segment		ok	update pending
data/phylogeny/by_segment/H5N1_PB2.fasta	Fri Apr  3 13:37:31 2026	split_h5n1_final_by_segment		ok	update pending
