[2026-04-15T08:08:11+00:00] run=strict_constant/r1 status=starting
[2026-04-15T08:08:11+00:00] xml=/home/sebas/MIRA_NGS/flu_aviar/results/beast/xml/strict_constant.xml
[2026-04-15T08:08:11+00:00] beast_binary=/home/sebas/MIRA_NGS/flu_aviar/.snakemake/conda/1ebeddae1b5a1710d8d61e914e796075_/bin/beast
[2026-04-15T08:08:11+00:00] beast_version=BEAST v10.5.0, 2002-2025
[2026-04-15T08:08:11+00:00] seed=3980
[2026-04-15T08:08:11+00:00] threads=18
[2026-04-15T08:08:11+00:00] replicate_dir=/home/sebas/MIRA_NGS/flu_aviar/results/beast/runs/strict_constant/r1
[2026-04-15T08:08:11+00:00] command=/home/sebas/MIRA_NGS/flu_aviar/.snakemake/conda/1ebeddae1b5a1710d8d61e914e796075_/bin/beast -overwrite -threads 18 -seed 3980 /home/sebas/MIRA_NGS/flu_aviar/results/beast/xml/strict_constant.xml
[2026-04-15T08:08:11+00:00] run=strict_constant/r1 status=running pid=252973
[2026-04-15T08:08:11+00:00] run=strict_constant/r1 status=running pid=252973 seed=3980
[2026-04-15T08:09:11+00:00] run=strict_constant/r1 status=running pid=252973 seed=3980
[2026-04-15T08:10:11+00:00] run=strict_constant/r1 status=running pid=252973 seed=3980
[2026-04-15T08:11:11+00:00] run=strict_constant/r1 status=running pid=252973 seed=3980
[2026-04-15T08:12:11+00:00] run=strict_constant/r1 status=running pid=252973 seed=3980
[2026-04-15T08:13:11+00:00] run=strict_constant/r1 status=running pid=252973 seed=3980
[2026-04-15T08:14:11+00:00] run=strict_constant/r1 status=running pid=252973 seed=3980
[2026-04-15T08:15:11+00:00] run=strict_constant/r1 status=running pid=252973 seed=3980
[2026-04-15T08:16:11+00:00] run=strict_constant/r1 status=running pid=252973 seed=3980
[2026-04-15T08:17:11+00:00] run=strict_constant/r1 status=running pid=252973 seed=3980
[2026-04-15T08:18:11+00:00] run=strict_constant/r1 status=running pid=252973 seed=3980
[2026-04-15T08:19:11+00:00] run=strict_constant/r1 status=running pid=252973 seed=3980
