[2026-04-15T09:08:12+00:00] starting BEAST replicate
[2026-04-15T09:08:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::loadLibrary has been called by beagle.BeagleJNIWrapper in an unnamed module (file:/home/sebas/MIRA_NGS/flu_aviar/.snakemake/conda/1ebeddae1b5a1710d8d61e914e796075_/lib/beast.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

[2026-04-15T09:09:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:10:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:11:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:12:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:13:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:14:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:15:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:16:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:17:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:18:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:19:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:20:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:21:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:22:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:23:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:24:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:25:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:26:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:27:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:28:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:29:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:30:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:31:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:32:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:33:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:34:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:35:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:36:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:37:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:38:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
[2026-04-15T09:39:12+00:00] run=strict_constant/r2 status=running pid=254297 seed=103980
