baseline_group	candidate_type	votes_in_group	sample_full_id	alert_in_other_group	secondary_group	secondary_group_votes	inconsistent_trees	inconsistent_trees_any_support	outside_main_groups_trees	present_trees
flu2024	primary	8	Flu-0316/Cotopaxi/2023	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0317/Cotopaxi/2023	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0580/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0582/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0583/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0584/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0586/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0589/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0592/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0593/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0596/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0599/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0600/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0604/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0608/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0610/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0611/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0613/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0614/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0619/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0621/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0622/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0623/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0630/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
flu2024	primary	8	Flu-0641/UNKNOWN/2024	no						PB2;PB1;PA;HA;NP;NA;MP;NS;concat
