Taxon	Date	Latitude	Longitude	Location	Host
EPI_ISL_11628212	2022-02-11	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_11628223	2022-02-21	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_11971485	2022-03-22	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_12690912	2022-03-28	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_13009618	2022-03-25	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_13052419	2022-03-30	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_13285238	2022-04-01	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_15004069	2022-04-07	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_15004406	2022-04-11	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_16013752	2022-11-25	8.0018709	-66.1109318	Venezuela	wild bird
EPI_ISL_16013753	2022-11-25	8.0018709	-66.1109318	Venezuela	wild bird
EPI_ISL_16102158	2022-04-13	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_16157545	2022-11-25	-1.3397668	-79.3666965	ecuador_andine	domesticated bird
EPI_ISL_16161675	2022-11-25	-1.3397668	-79.3666965	ecuador_andine	domesticated bird
EPI_ISL_16171416	2022-04-26	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_16240169	2022-05-06	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_16240643	2022-05-10	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_16243294	2022-05-13	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_16243894	2022-05-16	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_16243992	2022-05-13	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_16632517	2022-07-08	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_16854397	2022-11-25	8.0018709	-66.1109318	Venezuela	wild bird
EPI_ISL_16854405	2022-11-25	8.0018709	-66.1109318	Venezuela	wild bird
EPI_ISL_17011962	2022-12-05	-31.7613365	-71.3187697	Chile	wild bird
EPI_ISL_17185814	2022-08-22	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_17185882	2022-08-31	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_17353507	2022-11-08	4.0999170	-72.9088133	Colombia	domesticated bird
EPI_ISL_17353508	2022-11-13	4.0999170	-72.9088133	Colombia	domesticated bird
EPI_ISL_17353509	2022-11-01	4.0999170	-72.9088133	Colombia	domesticated bird
EPI_ISL_17353510	2022-11-26	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_17353838	2022-11-18	4.0999170	-72.9088133	Colombia	domesticated bird
EPI_ISL_17353839	2022-10-09	4.0999170	-72.9088133	Colombia	wild bird
EPI_ISL_17660072	2022-11-11	-6.8699697	-75.0458515	Peru	domesticated bird
EPI_ISL_17690225	2022-09-23	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_17777525	2023-04-03	-6.8699697	-75.0458515	Peru	wild bird
EPI_ISL_17777528	2023-03-17	-6.8699697	-75.0458515	Peru	wild bird
EPI_ISL_17777529	2023-03-17	-6.8699697	-75.0458515	Peru	wild bird
EPI_ISL_17777532	2023-03-07	-6.8699697	-75.0458515	Peru	wild mammal
EPI_ISL_17805986	2022-12-18	-6.8699697	-75.0458515	Peru	domesticated bird
EPI_ISL_17805987	2022-11-18	-6.8699697	-75.0458515	Peru	domesticated bird
EPI_ISL_17805993	2022-12-28	-6.8699697	-75.0458515	Peru	domesticated bird
EPI_ISL_17805995	2022-12-12	-6.8699697	-75.0458515	Peru	domesticated bird
EPI_ISL_17885915	2023-01-24	-31.7613365	-71.3187697	Chile	wild bird
EPI_ISL_17885918	2023-01-26	-31.7613365	-71.3187697	Chile	wild bird
EPI_ISL_17885957	2023-03-07	-31.7613365	-71.3187697	Chile	wild bird
EPI_ISL_17885969	2022-12-20	-31.7613365	-71.3187697	Chile	?
EPI_ISL_17885975	2023-03-07	-31.7613365	-71.3187697	Chile	wild mammal
EPI_ISL_17885980	2022-12-30	-31.7613365	-71.3187697	Chile	wild bird
EPI_ISL_17973443	2023-01-11	-1.3397668	-79.3666965	ecuador_coastal	wild bird
EPI_ISL_18054500	2022-11-24	-6.8699697	-75.0458515	Peru	wild bird
EPI_ISL_18054502	2023-01-23	-6.8699697	-75.0458515	Peru	wild mammal
EPI_ISL_18054508	2023-01-25	-6.8699697	-75.0458515	Peru	wild mammal
EPI_ISL_18107026	2022-01-24	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18130597	2023-06-21	-10.3333333	-53.2000000	Brazil	wild bird
EPI_ISL_18132201	2022-03-18	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18132231	2022-02-21	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_18132268	2022-02-22	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18132622	2022-03-02	39.7837304	-100.4458820	USA	domesticated bird
EPI_ISL_18132798	2022-04-11	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18132856	2022-03-01	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18132885	2022-02-01	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18132927	2022-02-23	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18132938	2022-04-05	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18132952	2022-04-27	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18132999	2022-03-21	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133024	2022-01-08	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133029	2021-12-30	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133067	2022-02-28	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133091	2022-02-20	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133101	2022-04-21	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133178	2022-01-26	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133187	2022-04-06	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133196	2022-02-01	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133220	2022-02-07	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133230	2022-01-26	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133248	2022-02-07	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133250	2022-03-23	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133383	2022-03-08	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133416	2021-12-30	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133419	2022-01-22	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133461	2022-01-08	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133463	2022-01-31	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133477	2022-01-29	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18133480	2022-01-08	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_18137626	2023-05-18	-1.3397668	-79.3666965	ecuador_coastal	wild bird
EPI_ISL_18217104	2023-07-24	-6.8699697	-75.0458515	Peru	wild bird
EPI_ISL_18265423	2023-01-25	-6.8699697	-75.0458515	Peru	wild mammal
EPI_ISL_18265430	2023-01-23	-6.8699697	-75.0458515	Peru	wild mammal
EPI_ISL_18310942	2023-03-03	-32.8755548	-56.0201525	Uruguay	domesticated bird
EPI_ISL_18310957	2023-03-15	-32.8755548	-56.0201525	Uruguay	wild bird
EPI_ISL_18310958	2023-02-18	-32.8755548	-56.0201525	Uruguay	wild bird
EPI_ISL_18310960	2023-04-16	-32.8755548	-56.0201525	Uruguay	wild bird
EPI_ISL_18310961	2023-05-03	-32.8755548	-56.0201525	Uruguay	domesticated bird
EPI_ISL_18310962	2023-04-17	-32.8755548	-56.0201525	Uruguay	domesticated bird
EPI_ISL_18310963	2023-04-17	-32.8755548	-56.0201525	Uruguay	domesticated bird
EPI_ISL_18310964	2023-04-16	-32.8755548	-56.0201525	Uruguay	domesticated bird
EPI_ISL_18310965	2023-03-06	-32.8755548	-56.0201525	Uruguay	domesticated bird
EPI_ISL_18310967	2023-03-03	-32.8755548	-56.0201525	Uruguay	domesticated bird
EPI_ISL_18497946	2023-09-26	-6.8699697	-75.0458515	Peru	wild bird
EPI_ISL_18522961	2023-10-30	-51.9492937	-59.5383657	Falkland Islands	wild bird
EPI_ISL_18690733	2023-03-26	-31.7613365	-71.3187697	Chile	wild mammal
EPI_ISL_18698464	2023-02-18	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698474	2023-02-20	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698476	2023-02-21	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698490	2023-02-24	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698505	2023-03-21	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698506	2023-03-27	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698508	2023-03-31	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698509	2023-04-03	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698513	2023-04-17	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698517	2023-04-24	-34.9964963	-64.9672817	Argentina	?
EPI_ISL_18698521	2023-05-08	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698524	2023-05-18	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698525	2023-05-18	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698527	2023-06-13	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698528	2023-07-06	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698529	2023-07-26	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698530	2023-07-27	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698731	2023-03-09	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698732	2023-05-03	-34.9964963	-64.9672817	Argentina	domesticated bird
EPI_ISL_18698754	2023-08-08	-34.9964963	-64.9672817	Argentina	wild mammal
EPI_ISL_18698755	2023-08-11	-34.9964963	-64.9672817	Argentina	wild mammal
EPI_ISL_18755338	2023-05-15	-10.3333333	-53.2000000	Brazil	wild bird
EPI_ISL_18760066	2023-02-05	-31.7613365	-71.3187697	Chile	wild bird
EPI_ISL_18773644	2023-10-12	-10.3333333	-53.2000000	Brazil	wild mammal
EPI_ISL_18909019	2022-12-07	8.0018709	-66.1109318	Venezuela	wild bird
EPI_ISL_18918640	2023-11-14	-51.9492937	-59.5383657	Falkland Islands	wild bird
EPI_ISL_18931239	2022-12-07	8.0018709	-66.1109318	Venezuela	wild bird
EPI_ISL_18931270	2022-12-19	8.0018709	-66.1109318	Venezuela	wild bird
EPI_ISL_18931273	2022-12-23	8.0018709	-66.1109318	Venezuela	wild bird
EPI_ISL_18931274	2023-01-11	8.0018709	-66.1109318	Venezuela	wild bird
EPI_ISL_18931275	2023-01-11	8.0018709	-66.1109318	Venezuela	wild bird
EPI_ISL_18931276	2023-01-27	8.0018709	-66.1109318	Venezuela	wild bird
EPI_ISL_18945315	2023-08-26	-34.9964963	-64.9672817	Argentina	wild bird
EPI_ISL_18975372	2023-07-25	-10.3333333	-53.2000000	Brazil	wild bird
EPI_ISL_19070287	2023-04-20	-6.8699697	-75.0458515	Peru	wild bird
EPI_ISL_19070288	2023-04-20	-6.8699697	-75.0458515	Peru	wild bird
EPI_ISL_19070484	2023-09-14	-32.8755548	-56.0201525	Uruguay	wild mammal
EPI_ISL_19070488	2023-10-02	-32.8755548	-56.0201525	Uruguay	wild mammal
EPI_ISL_19070489	2023-09-06	-32.8755548	-56.0201525	Uruguay	wild mammal
EPI_ISL_19070491	2023-09-06	-32.8755548	-56.0201525	Uruguay	wild mammal
EPI_ISL_19070492	2023-09-08	-32.8755548	-56.0201525	Uruguay	wild mammal
EPI_ISL_19070495	2023-10-04	-32.8755548	-56.0201525	Uruguay	wild bird
EPI_ISL_19070496	2023-10-04	-32.8755548	-56.0201525	Uruguay	wild bird
EPI_ISL_19070497	2023-10-04	-32.8755548	-56.0201525	Uruguay	wild bird
EPI_ISL_19101238	2022-08-24	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_19131159	2022-12-12	-31.7613365	-71.3187697	Chile	wild bird
EPI_ISL_19131168	2023-01-11	-31.7613365	-71.3187697	Chile	wild bird
EPI_ISL_19137653	2023-04-17	-34.9964963	-64.9672817	Argentina	wild bird
EPI_ISL_19151400	2023-02-05	-31.7613365	-71.3187697	Chile	wild bird
EPI_ISL_19158246	2022-09-09	39.7837304	-100.4458820	USA	?
EPI_ISL_19158278	2022-06-06	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_19158297	2022-08-09	39.7837304	-100.4458820	USA	wild bird
EPI_ISL_19158339	2023-04-20	-6.8699697	-75.0458515	Peru	wild bird
EPI_ISL_19162730	2023-01-09	-31.7613365	-71.3187697	Chile	?
EPI_ISL_19215176	2023-09-22	-10.3333333	-53.2000000	Brazil	domesticated bird
