file_name,host,collection_date,country,expected_role
EPI_ISL_18132153,American_Black_Duck,2022-02-06,USA,american_anchor
EPI_ISL_18133089,American_Black_Duck,2022-02-16,USA,american_anchor
EPI_ISL_18133079,American_Black_Duck,2022-03-04,USA,american_anchor
EPI_ISL_18133073,American_Black_Duck,2022-03-09,USA,american_anchor
EPI_ISL_18133041,American_Crow,2022-04-07,USA,american_anchor
EPI_ISL_18133168,American_White_Pelican,2022-04-12,USA,american_anchor
EPI_ISL_18133148,American_Wigeon,2022-02-05,USA,american_anchor
EPI_ISL_18133140,American_Wigeon,2022-01-08,USA,american_anchor
EPI_ISL_18133121,American_Wigeon,2022-01-08,USA,american_anchor
EPI_ISL_18133117,American_Wigeon,2022-01-08,USA,american_anchor
EPI_ISL_18133113,American_Wigeon,2022-01-08,USA,american_anchor
EPI_ISL_18133109,American_Wigeon,2022-01-08,USA,american_anchor
EPI_ISL_18133024,American_Wigeon,2022-01-08,USA,american_anchor
EPI_ISL_18133021,American_Wigeon,2022-01-08,USA,american_anchor
EPI_ISL_18133017,American_Wigeon,2022-01-08,USA,american_anchor
EPI_ISL_18133051,American_Wigeon,2022-01-08,USA,american_anchor
EPI_ISL_18133039,American_Wigeon,2022-01-08,USA,american_anchor
EPI_ISL_18133035,American_Wigeon,2022-01-22,USA,american_anchor
EPI_ISL_18133032,American_Wigeon,2022-01-26,USA,american_anchor
EPI_ISL_18133029,American_Wigeon,2021-12-30,USA,american_anchor
EPI_ISL_18133026,American_Wigeon,2022-01-06,USA,american_anchor
EPI_ISL_18133023,American_Wigeon,2022-01-06,USA,american_anchor
EPI_ISL_9876777,American_blue-winged_teal,2021-12-30,USA,american_anchor
EPI_ISL_9880153,American_wigeon,2022-01-08,USA,american_anchor
EPI_ISL_9869760,American_wigeon,2021-12-30,USA,american_anchor
EPI_ISL_19391463,Antofagasta,2023-03-24,Chile,regional_context
EPI_ISL_20359540,Arctocephalus_australis,2023-03-06,Peru,regional_context
EPI_ISL_18698516,Avian,2023-04-21,Argentina,regional_context
EPI_ISL_18698517,Avian,2023-04-24,Argentina,regional_context
EPI_ISL_18698485,Avian,2023-02-24,Argentina,regional_context
EPI_ISL_18698487,Avian,2023-02-24,Argentina,regional_context
EPI_ISL_20444471,Avian,2023-03-21,Chile,regional_context
EPI_ISL_20444458,Avian,2023-04-11,Chile,regional_context
EPI_ISL_20444459,Avian,2023-06-06,Chile,regional_context
EPI_ISL_20444460,Avian,2023-06-27,Chile,regional_context
EPI_ISL_20444461,Avian,2023-09-20,Chile,regional_context
EPI_ISL_18133005,Backyard_bird,2022-03-29,USA,american_anchor
EPI_ISL_18132997,Backyard_bird,2022-02-28,USA,american_anchor
EPI_ISL_18133048,Backyard_bird,2022-03-15,USA,american_anchor
EPI_ISL_18133114,Backyard_bird,2022-02-22,USA,american_anchor
EPI_ISL_18133182,Backyard_bird,2022-04-11,USA,american_anchor
EPI_ISL_18133176,Backyard_bird,2022-04-28,USA,american_anchor
EPI_ISL_18133207,Backyard_bird,2022-04-29,USA,american_anchor
EPI_ISL_18133075,Backyard_bird,2022-02-22,USA,american_anchor
EPI_ISL_18133072,Backyard_bird,2022-02-22,USA,american_anchor
EPI_ISL_18133155,Backyard_bird,2022-04-05,USA,american_anchor
