label,id,type_c,date
Flu-0316/Cotopaxi/2023-07-28,Flu-0316,flu_sierra,2023-07-28
Flu-0317/Cotopaxi/2023-07-28,Flu-0317,flu_sierra,2023-07-28
Flu-0580/Cotopaxi/2022-11-25,Flu-0580,flu_sierra,2022-11-25
Flu-0406/Guayas/2023-10-31,Flu-0406,flu_epi_isl,2023-10-31
APelecanus_thagusPeruLIM-QUIM0062023_EPI_ISL_19781426__regional_context/Peru/2023-02-10,APelecanus_thagusPeruLIM-QUIM0062023_EPI_ISL_19781426,regional_context,2023-02-10
ApelicanPeruAIS05382022_EPI_ISL_17806000__regional_context/Peru/2022-11-10,ApelicanPeruAIS05382022_EPI_ISL_17806000,regional_context,2022-11-10
ASanderlingPeruPIU-SER0052022_EPI_ISL_18265432__regional_context/Peru/2022-11-22,ASanderlingPeruPIU-SER0052022_EPI_ISL_18265432,regional_context,2022-11-22
AsanderlingPeruPIU-0052022_EPI_ISL_18054501__regional_context/Peru/2022-11-22,AsanderlingPeruPIU-0052022_EPI_ISL_18054501,regional_context,2022-11-22
AGuanay_cormorantPeruPIU-SER0242022_EPI_ISL_18265434__regional_context/Peru/2022-11-24,AGuanay_cormorantPeruPIU-SER0242022_EPI_ISL_18265434,regional_context,2022-11-24
Aguanay_cormorantPeruPIU-0242022_EPI_ISL_18054500__regional_context/Peru/2022-11-24,Aguanay_cormorantPeruPIU-0242022_EPI_ISL_18054500,regional_context,2022-11-24
ApelicanPeruPIU-0282022_EPI_ISL_18054507__regional_context/Peru/2022-11-24,ApelicanPeruPIU-0282022_EPI_ISL_18054507,regional_context,2022-11-24
ApelicanPeruPIU-SER0282022_EPI_ISL_18265436__regional_context/Peru/2022-11-24,ApelicanPeruPIU-SER0282022_EPI_ISL_18265436,regional_context,2022-11-24
AduckPeruLAM-INS-0152023_EPI_ISL_18497950__regional_context/Peru/2023-09-20,AduckPeruLAM-INS-0152023_EPI_ISL_18497950,regional_context,2023-09-20
AduckPeruLAM-INS-0142023_EPI_ISL_18497946__regional_context/Peru/2023-09-26,AduckPeruLAM-INS-0142023_EPI_ISL_18497946,regional_context,2023-09-26
AowlPeru23-005629-0012022_EPI_ISL_17660073__regional_context/Peru/2022-11-11,AowlPeru23-005629-0012022_EPI_ISL_17660073,regional_context,2022-11-11
Flu-EPI_ISL_17973443/Guayas/2023-01-11,Flu-EPI_ISL_17973443,flu_epi_isl,2023-01-11
Flu-EPI_ISL_17973458/Guayas/2023-01-11,Flu-EPI_ISL_17973458,flu_epi_isl,2023-01-11
