output_file	date	rule	log-file(s)	status	plan
data/phylogeny/by_segment/H5N1_PB2.fasta	Sat Jun  6 14:36:33 2026	process_raw_to_segments		ok	no update
data/phylogeny/by_segment/H5N1_PB1.fasta	Sat Jun  6 14:36:33 2026	process_raw_to_segments		ok	no update
data/phylogeny/by_segment/H5N1_PA.fasta	Sat Jun  6 14:36:33 2026	process_raw_to_segments		ok	no update
data/phylogeny/by_segment/H5N1_HA.fasta	Sat Jun  6 14:36:33 2026	process_raw_to_segments		ok	no update
data/phylogeny/by_segment/H5N1_NP.fasta	Sat Jun  6 14:36:33 2026	process_raw_to_segments		ok	no update
data/phylogeny/by_segment/H5N1_NA.fasta	Sat Jun  6 14:36:33 2026	process_raw_to_segments		ok	no update
data/phylogeny/by_segment/H5N1_MP.fasta	Sat Jun  6 14:36:33 2026	process_raw_to_segments		ok	no update
data/phylogeny/by_segment/H5N1_NS.fasta	Sat Jun  6 14:36:33 2026	process_raw_to_segments		ok	no update
data/input/H5N1_EC_gisaid_from_mira.fasta	Sat Jun  6 14:36:33 2026	build_gisaid_input_from_mira		ok	no update
data/processed_alignments/qc_filtered/H5N1_PB2.mafft	Sat Jun  6 14:36:37 2026	trim_and_filter_mafft		ok	update pending
data/processed_alignments/codon_aware/H5N1_PB2.mafft	Sat Jun  6 14:36:35 2026	mafft_align_segment		ok	update pending
data/phylogeny/by_segment_qc_filtered/H5N1_PB2.fasta	Sat Jun  6 14:36:34 2026	filter_alignments_by_nextclade_qc_others		ok	no update
data/processed_alignments/qc_filtered/H5N1_PB1.mafft	Sat Jun  6 14:36:37 2026	trim_and_filter_mafft		ok	update pending
data/processed_alignments/codon_aware/H5N1_PB1.mafft	Sat Jun  6 14:36:35 2026	mafft_align_segment		ok	update pending
data/phylogeny/by_segment_qc_filtered/H5N1_PB1.fasta	Sat Jun  6 14:36:34 2026	filter_alignments_by_nextclade_qc_others		ok	no update
data/processed_alignments/qc_filtered/H5N1_PA.mafft	Sat Jun  6 14:36:37 2026	trim_and_filter_mafft		ok	update pending
data/processed_alignments/codon_aware/H5N1_PA.mafft	Sat Jun  6 14:36:35 2026	mafft_align_segment		ok	update pending
data/phylogeny/by_segment_qc_filtered/H5N1_PA.fasta	Sat Jun  6 14:36:34 2026	filter_alignments_by_nextclade_qc_others		ok	no update
data/processed_alignments/qc_filtered/H5N1_HA.mafft	Sat Jun  6 14:36:38 2026	trim_and_filter_mafft		ok	update pending
data/processed_alignments/codon_aware/H5N1_HA.mafft	Sat Jun  6 14:36:37 2026	mafft_align_segment		ok	update pending
data/phylogeny/by_segment_qc_filtered/H5N1_HA.fasta	Sat Jun  6 14:36:35 2026	filter_alignments_by_nextclade_qc_ha		ok	update pending
results/qc_metrics/nextclade/HA/alignment.fasta	Sat Jun  6 14:36:34 2026	run_nextclade_alignment_all		ok	update pending
