"Sample_ID","Segments_Ignored_In_Plots",">98% match to B3.2 genotype","Host","Collection_Date","Location","Role","Ignored_Segments_Top_Hits","Other_Segments_Top_Hits"
"EPI_ISL_18137671","NA, NS","No","wild bird","2023-05-18","Ecuador (Playas)","flu_costa","NA (ea1, 98.77%); NS (am1.3, 82.98%)","MP (ea1, 99.19%); PA (ea1, 99.21%); PB1 (am1.2, 99.03%); NP (am1.4.1, 98.33%); HA (ea1, 99.85%); PB2 (am2.1, 97.69%)"
"EPI_ISL_20267521","PB2","No","domesticated bird","2025-06-13","Brazil ()","regional_context","PB2 (am2.1, 95.79%)","NA (ea1, 98.86%); MP (ea1, 98.17%); PA (ea1, 99.12%); PB1 (am1.2, 97.89%); NS (am1.1, 98.69%); NP (am5, 92.58%)"
"EPI_ISL_20370746","PB2","No","domesticated bird","2025-06-13","Brazil ()","regional_context","PB2 (am2.1, 95.79%)","NA (ea1, 98.86%); MP (ea1, 98.17%); PA (ea1, 99.12%); PB1 (am1.2, 97.89%); NS (am1.1, 98.69%); NP (am5, 92.58%)"
"EPI_ISL_18137626","PB2","No","wild bird","2023-05-18","Ecuador (Playas)","flu_costa","PB2 (am2.1, 98.43%)","NA (ea1, 98.93%); MP (ea1, 99.29%); PA (ea1, 99.49%); PB1 (am1.2, 97.79%); NP (am1.4.1, 98.86%); HA (ea1, 98.95%)"
"EPI_ISL_19418489","NS","No","wild mammal","2023-05-22","Chile (Magallanes)","regional_context","NS (am5, 91.28%)","NA (ea1, 99.36%); MP (ea1, 99.29%); PB1 (am1.2, 99.44%); HA (ea1, 94.63%)"

"Official B3.2 Constellation","Lineage"
"PB2","am2.1"
"PB1","am1.2"
"PA","ea1"
"HA","ea1"
"NP","am1.4.1"
"NA","ea1"
"MP","ea1"
"NS","am1.1"
