file_name,host,host_type,collection_date,country,province,expected_role,genotype
EPI_ISL_11628212,chicken,domesticated bird,2022-02-11,USA,Virginia,american_anchor,A1
EPI_ISL_11628213,chicken,domesticated bird,2022-02-11,USA,Kentucky,american_anchor,A1
EPI_ISL_11628214,chicken,domesticated bird,2022-02-11,USA,Kentucky,american_anchor,A1
EPI_ISL_11628215,chicken,domesticated bird,2022-02-11,USA,Kentucky,american_anchor,A1
EPI_ISL_11628217,turkey,domesticated bird,2022-02-12,USA,Kentucky,american_anchor,A1
EPI_ISL_11628218,turkey,domesticated bird,2022-02-14,USA,Indiana,american_anchor,A1
EPI_ISL_11628219,turkey,domesticated bird,2022-02-14,USA,Indiana,american_anchor,A1
EPI_ISL_11628221,chicken,domesticated bird,2022-02-17,USA,Maine,american_anchor,A1
EPI_ISL_11628222,chicken,domesticated bird,2022-02-21,USA,Delaware,american_anchor,A1
EPI_ISL_11628223,chicken,domesticated bird,2022-02-21,USA,Delaware,american_anchor,A1
EPI_ISL_11628224,chicken,domesticated bird,2022-02-21,USA,Delaware,american_anchor,A1
EPI_ISL_11628225,turkey,domesticated bird,2022-02-16,USA,Indiana,american_anchor,A1
EPI_ISL_11628226,turkey,domesticated bird,2022-02-16,USA,Indiana,american_anchor,A1
EPI_ISL_11628228,turkey,domesticated bird,2022-02-18,USA,Indiana,american_anchor,A1
EPI_ISL_11628230,chicken,domesticated bird,2022-02-22,USA,Michigan,american_anchor,A1
EPI_ISL_11628231,guinea_fowl,wild bird,2022-02-22,USA,Michigan,american_anchor,A1
EPI_ISL_11628232,chicken,domesticated bird,2022-02-20,USA,Maine,american_anchor,A1
EPI_ISL_11628233,pheasant,domesticated bird,2022-02-22,USA,New York,american_anchor,A1
EPI_ISL_11628234,pheasant,domesticated bird,2022-02-22,USA,New York,american_anchor,A1
EPI_ISL_11628235,turkey,domesticated bird,2022-02-21,USA,Indiana,american_anchor,A1
EPI_ISL_11628236,turkey,domesticated bird,2022-02-21,USA,Indiana,american_anchor,A1
EPI_ISL_11628238,silkie_chicken,domesticated bird,2022-02-28,USA,Iowa,american_anchor,A1
EPI_ISL_11628241,turkey,domesticated bird,2022-02-28,USA,Indiana,american_anchor,A1
EPI_ISL_11628243,turkey,domesticated bird,2022-03-01,USA,Indiana,american_anchor,A1
EPI_ISL_11971484,turkey,domesticated bird,2022-03-22,USA,South Dakota,american_anchor,B2.1
EPI_ISL_11971485,turkey,domesticated bird,2022-03-22,USA,South Dakota,american_anchor,B2.1
EPI_ISL_11971488,turkey,domesticated bird,2022-03-22,USA,South Dakota,american_anchor,B2.1
EPI_ISL_11971494,turkey,domesticated bird,2022-03-23,USA,South Dakota,american_anchor,B2.1
EPI_ISL_12690322,turkey,domesticated bird,2022-03-26,USA,Minnesota,american_anchor,B2.1
EPI_ISL_12690569,turkey,domesticated bird,2022-03-27,USA,Iowa,american_anchor,B2.1
EPI_ISL_12690903,turkey,domesticated bird,2022-03-28,USA,Minnesota,american_anchor,B2.1
EPI_ISL_12690912,turkey,domesticated bird,2022-03-28,USA,Minnesota,american_anchor,B2.1
EPI_ISL_13009618,Sebastopol_goose,wild bird,2022-03-25,USA,Massachusetts,american_anchor,A1
EPI_ISL_13009689,chicken,domesticated bird,2022-03-26,USA,Wyoming,american_anchor,B2.1
EPI_ISL_13052414,chicken,domesticated bird,2022-03-30,USA,North Dakota,american_anchor,B2.1
EPI_ISL_13052418,chicken,domesticated bird,2022-03-29,USA,Minnesota,american_anchor,B2.1
EPI_ISL_13052419,turkey,domesticated bird,2022-03-30,USA,Minnesota,american_anchor,B2.1
EPI_ISL_13052422,turkey,domesticated bird,2022-03-30,USA,South Dakota,american_anchor,B2.1
EPI_ISL_13052423,turkey,domesticated bird,2022-03-31,USA,North Dakota,american_anchor,B3.1
EPI_ISL_13052433,turkey,domesticated bird,2022-04-01,USA,South Dakota,american_anchor,A1
EPI_ISL_13052722,fox,wild mammal,2022-05-10,USA,Minnesota,american_anchor,B2.1
EPI_ISL_13052726,fox,wild mammal,2022-05-03,USA,Wisconsin,american_anchor,Minor15
EPI_ISL_13285238,turkey,domesticated bird,2022-04-01,USA,South Dakota,american_anchor,Minor12
EPI_ISL_13285548,turkey,domesticated bird,2022-04-02,USA,Minnesota,american_anchor,B2.1
EPI_ISL_13285553,turkey,domesticated bird,2022-04-02,USA,North Dakota,american_anchor,B2.1
EPI_ISL_13431305,turkey,domesticated bird,2022-04-04,USA,Minnesota,american_anchor,B2.1
EPI_ISL_13431307,turkey,domesticated bird,2022-04-04,USA,Minnesota,american_anchor,B2.1
EPI_ISL_13432776,chicken,domesticated bird,2022-03-31,USA,Wyoming,american_anchor,A1
EPI_ISL_14098915,harbor_seal,wild mammal,2022-06-24,USA,Maine,american_anchor,A2
EPI_ISL_14098917,harbor_seal,wild mammal,2022-06-22,USA,Maine,american_anchor,A2
EPI_ISL_14098918,harbor_seal,wild mammal,2022-06-26,USA,Maine,american_anchor,A2
EPI_ISL_14098919,harbor_seal,wild mammal,2022-06-27,USA,Maine,american_anchor,A2
EPI_ISL_14098920,harbor_seal,wild mammal,2022-06-29,USA,Maine,american_anchor,A2
EPI_ISL_14098921,harbor_seal,wild mammal,2022-06-29,USA,Maine,american_anchor,A2
EPI_ISL_14098923,harbor_seal,wild mammal,2022-06-29,USA,Maine,american_anchor,A2
EPI_ISL_14552975,Vulpes_vulpes,wild mammal,2022-05-04,USA,New York,american_anchor,Minor01
EPI_ISL_14937102,snow_goose,wild bird,2022-03-12,USA,Kansas,american_anchor,B2.1
EPI_ISL_14937103,bald_eagle,wild bird,2022-03-08,USA,Georgia,american_anchor,B1.1
EPI_ISL_15004069,turkey,domesticated bird,2022-04-07,USA,Minnesota,american_anchor,B2.1
EPI_ISL_15004071,goose,wild bird,2022-04-07,USA,Michigan,american_anchor,B2.1
EPI_ISL_15004375,chicken,domesticated bird,2022-04-09,USA,Montana,american_anchor,B4.1
EPI_ISL_15004390,chicken,domesticated bird,2022-04-10,USA,Minnesota,american_anchor,B3.2
EPI_ISL_15004406,turkey,domesticated bird,2022-04-11,USA,Minnesota,american_anchor,B3.2
EPI_ISL_15004411,chicken,domesticated bird,2022-04-13,USA,Wisconsin,american_anchor,B2.1
EPI_ISL_15063648,snow_goose,wild bird,2022-04-08,USA,North Dakota,american_anchor,B2.1
EPI_ISL_15063669,ring-billed_gull,wild bird,2022-03-07,USA,Florida,american_anchor,A1
EPI_ISL_15063846,bald_eagle,wild bird,2022-02-12,USA,Florida,american_anchor,B1.1
EPI_ISL_15078240,Cooper's_hawk,wild bird,2022-04-26,USA,Minnesota,american_anchor,B2.1
EPI_ISL_15078247,fox,wild mammal,2022-05-06,USA,Wisconsin,american_anchor,B3.1
EPI_ISL_15078251,red_fox,wild mammal,2022-06-03,USA,North Dakota,american_anchor,B3.1
EPI_ISL_15214835,common_tern,wild bird,2022-06-23,USA,Maine,american_anchor,A2
EPI_ISL_15215193,common_eiders,wild bird,2022-06-12,USA,Maine,american_anchor,A2
EPI_ISL_15215280,bald_eagle,wild bird,2022-03-06,USA,Kansas,american_anchor,B2.1
EPI_ISL_15614805,Lesser_scaup,wild bird,2022-01-23,USA,Maryland,american_anchor,A1
EPI_ISL_16102158,chicken,domesticated bird,2022-04-13,USA,Michigan,american_anchor,B1.2
EPI_ISL_16102168,chicken,domesticated bird,2022-04-18,USA,Idaho,american_anchor,B2.1
EPI_ISL_16102174,turkey,domesticated bird,2022-04-15,USA,Minnesota,american_anchor,B3.2
EPI_ISL_16102261,turkey,domesticated bird,2022-04-15,USA,Minnesota,american_anchor,B2.1
EPI_ISL_16171416,chicken,domesticated bird,2022-04-26,USA,Kansas,american_anchor,B2.1
EPI_ISL_16171417,chicken,domesticated bird,2022-04-26,USA,Pennsylvania,american_anchor,A1
EPI_ISL_16171459,turkey,domesticated bird,2022-04-26,USA,Wisconsin,american_anchor,B3.2
EPI_ISL_16171462,chicken,domesticated bird,2022-04-28,USA,Montana,american_anchor,B4.1
EPI_ISL_16171495,duck,wild bird,2022-05-02,USA,Pennsylvania,american_anchor,A1
EPI_ISL_16171499,chicken,domesticated bird,2022-05-02,USA,Illinois,american_anchor,B2.1
EPI_ISL_16171520,chicken,domesticated bird,2022-05-03,USA,Washington,american_anchor,B4.1
EPI_ISL_16171524,chicken,domesticated bird,2022-05-02,USA,Montana,american_anchor,B4.1
EPI_ISL_16240161,domestic_goose,wild bird,2022-05-03,USA,Washington,american_anchor,B4.1
EPI_ISL_16240163,turkey,domesticated bird,2022-05-05,USA,Wisconsin,american_anchor,B3.2
EPI_ISL_16240169,chicken,domesticated bird,2022-05-06,USA,Idaho,american_anchor,B2.1
EPI_ISL_16240220,chicken,domesticated bird,2022-05-06,USA,Idaho,american_anchor,B2.1
EPI_ISL_16240351,chicken,domesticated bird,2022-05-07,USA,Minnesota,american_anchor,B3.2
EPI_ISL_16240353,duck,wild bird,2022-05-07,USA,Minnesota,american_anchor,B3.2
EPI_ISL_16240414,chicken,domesticated bird,2022-05-04,USA,Pennsylvania,american_anchor,A1
EPI_ISL_16240508,guinea_fowl,wild bird,2022-05-09,USA,Utah,american_anchor,B3.2
EPI_ISL_16240643,chicken,domesticated bird,2022-05-10,USA,Idaho,american_anchor,B3.1
EPI_ISL_16240881,chicken,domesticated bird,2022-05-11,USA,Washington,american_anchor,B4.1
EPI_ISL_16240883,goose,wild bird,2022-05-10,USA,Washington,american_anchor,B4.1
EPI_ISL_16240888,chicken,domesticated bird,2022-05-06,USA,Wyoming,american_anchor,B4.1
EPI_ISL_16243231,chicken,domesticated bird,2022-05-13,USA,Pennsylvania,american_anchor,A1
EPI_ISL_16243294,chicken,domesticated bird,2022-05-13,USA,Wisconsin,american_anchor,B2.1
EPI_ISL_16243588,chicken,domesticated bird,2022-05-15,USA,North Dakota,american_anchor,B2.1
EPI_ISL_16243894,chicken,domesticated bird,2022-05-16,USA,Idaho,american_anchor,B3.1
EPI_ISL_16243958,Pekin_duck,wild bird,2022-05-16,USA,Pennsylvania,american_anchor,A1
EPI_ISL_16243992,chicken,domesticated bird,2022-05-13,USA,Minnesota,american_anchor,B3.2
EPI_ISL_16244010,chicken,domesticated bird,2022-05-12,USA,Indiana,american_anchor,B1.2
EPI_ISL_16244017,chicken,domesticated bird,2022-05-18,USA,South Dakota,american_anchor,B2.1
EPI_ISL_16244020,chicken,domesticated bird,2022-05-18,USA,Minnesota,american_anchor,B3.2
EPI_ISL_16244026,chicken,domesticated bird,2022-05-19,USA,Wisconsin,american_anchor,B2.1
EPI_ISL_16297060,chicken,domesticated bird,2022-09-28,USA,Oregon,american_anchor,B4.1
EPI_ISL_16555205,Canada_goose,wild bird,2022-07-05,USA,California,american_anchor,B4.1
EPI_ISL_16632466,american_crow,wild bird,2022-02-27,USA,Massachusetts,american_anchor,A2
EPI_ISL_16632505,great_black-backed_gull,wild bird,2022-03-25,USA,Massachusetts,american_anchor,A2
EPI_ISL_16632510,gull,wild bird,2022-07-08,USA,Maine,american_anchor,A2
EPI_ISL_16632511,great_black-backed_gull,wild bird,2022-06-29,USA,Maine,american_anchor,A2
EPI_ISL_16632512,common_tern,wild bird,2022-07-07,USA,Maine,american_anchor,A2
EPI_ISL_16632513,common_eider,wild bird,2022-07-08,USA,Maine,american_anchor,A2
EPI_ISL_16632514,great_black-backed_gull,wild bird,2022-07-07,USA,Maine,american_anchor,A2
