Strain	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List	Date run
A/goose/Michigan/USDA-008506-004/2022	B1.2	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:am1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, am1:22-008890-001:PA	99.74%, 99.87%, 99.76%, 99.90%, 99.77%, 99.87%, 99.93%, 99.91%	6, 3, 2, 1, 4, 2, 1, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-49
A/pelican/Iowa/22-011101-009/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.65%, 99.96%, 99.88%, 99.80%, 99.59%, 99.80%, 99.86%, 99.77%	8, 1, 1, 2, 7, 3, 2, 5	Ran on FASTA - No Coverage Report	2026-05-29_14-48-49
A/Chicken/Argentina/2305-1/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.21%, 99.03%, 99.05%, 99.29%, 99.00%, 99.13%, 99.22%, 99.63%	18, 22, 8, 7, 17, 13, 11, 8	Ran on FASTA - No Coverage Report	2026-05-29_14-48-49
A/turkey/Araucania/241892-3/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.39%, 99.21%, 99.28%, 99.19%, 99.06%, 99.13%, 99.22%, 99.63%	14, 18, 6, 8, 16, 13, 11, 8	Ran on FASTA - No Coverage Report	2026-05-29_14-48-49
A/wildbird-Fregata-magnificens/Ecuador/IC06-4590/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:24-009110-019:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.47%, 99.43%, 99.24%, 98.57%, 98.83%, 99.33%, 96.13%, 99.72%	12, 13, 6, 14, 8, 10, 28, 6	Ran on FASTA - No Coverage Report	2026-05-29_14-48-49
A/Lesser_scaup/MD/-LC-EESC-024/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.87%, 99.78%, 99.88%, 99.90%, 99.71%, 99.80%, 99.86%, 99.77%	3, 5, 1, 1, 5, 3, 2, 5	Ran on FASTA - No Coverage Report	2026-05-29_14-48-49
A/black_vulture/Florida/22-020386-001/2022	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.65%, 99.60%, 99.76%, 99.69%, 99.65%, 99.73%, 99.79%, 99.86%	8, 9, 2, 3, 6, 4, 3, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-49
A/Pelican/Venezuela/Pel4/2022	B2.2	PB2:am1.2, PB1:ea1, NS:am1.2, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, am1.2:22-010668-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.56%, 99.34%, 99.52%, 99.69%, 99.41%, 99.60%, 99.57%, 99.30%	5, 6, 4, 3, 10, 6, 6, 15	Ran on FASTA - No Coverage Report	2026-05-29_14-48-49
A/caspian_tern/Wisconsin/22-017717-004/2022	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.83%, 99.74%, 99.64%, 99.69%, 99.53%, 99.73%, 99.79%, 99.58%	4, 6, 3, 3, 8, 4, 3, 9	Ran on FASTA - No Coverage Report	2026-05-29_14-48-50
A/American_Wigeon/South_Carolina/USDA-001743-014/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.78%, 100.00%, 99.88%, 100.00%, 99.82%, 99.93%, 100.00%, 99.91%	5, 0, 1, 0, 3, 1, 0, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-50
