Strain	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List	Date run
EPI_ISL_20386477	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.12%, 99.38%, 99.28%, 99.36%, 99.30%, 99.18%, 99.47%, 99.29%	20, 14, 6, 9, 15, 14, 8, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-09-51
EPI_ISL_20387860	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.30%, 99.38%, 99.40%, 99.29%, 99.40%, 99.24%, 99.53%, 99.19%	16, 14, 5, 10, 13, 13, 7, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-51
EPI_ISL_20387861	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.43%, 99.40%, 99.43%, 99.44%, 99.24%, 99.60%, 99.19%	15, 13, 5, 8, 12, 13, 6, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-51
EPI_ISL_20387862	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.34%, 99.28%, 99.43%, 99.44%, 99.24%, 99.60%, 99.08%	15, 15, 6, 8, 12, 13, 6, 9	Ran on FASTA - No Coverage Report	2026-06-01_16-09-51
EPI_ISL_20387863	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.43%, 99.40%, 99.36%, 99.40%, 99.24%, 99.60%, 99.08%	15, 13, 5, 9, 13, 13, 6, 9	Ran on FASTA - No Coverage Report	2026-06-01_16-09-52
EPI_ISL_20387864	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.38%, 99.28%, 99.36%, 99.40%, 99.18%, 99.60%, 99.19%	15, 14, 6, 9, 13, 14, 6, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-52
EPI_ISL_20387865	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.38%, 99.28%, 99.36%, 99.40%, 99.24%, 99.60%, 99.19%	15, 14, 6, 9, 13, 13, 6, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-52
EPI_ISL_20387866	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.43%, 99.40%, 99.29%, 99.35%, 99.06%, 99.47%, 99.19%	17, 13, 5, 10, 14, 16, 8, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-53
EPI_ISL_20387867	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.38%, 99.28%, 99.43%, 99.40%, 99.18%, 99.47%, 99.19%	17, 14, 6, 8, 13, 14, 8, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-53
EPI_ISL_20387868	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.43%, 99.40%, 99.08%, 99.26%, 99.12%, 99.53%, 99.19%	17, 13, 5, 13, 16, 15, 7, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-53
